,Media Source,Tweet,Date & Time (UTC),Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
41,@BBCWorld,"#ThaiCaveRescue: First video of rescued boys recovering in hospital is released 🐗🇹🇭 

https://t.co/dUqiO7w8Ao https://t.co/g40eMouqdb",Wed Jul 11 16:07:45 +0000 2018,0.4215,0.177,0,0.823,42
42,@BBCWorld,Woman arrested for allegedly beating 92-yr-old with brick https://t.co/AFSxgI6fcY,Wed Jul 11 15:47:18 +0000 2018,-0.7269,0,0.466,0.534,43
43,@BBCWorld,"Nato secretary general tells summit: ""We all agree that we do not have fair burden-sharing in our alliance today""… https://t.co/j3wSZmTNYU",Wed Jul 11 15:44:41 +0000 2018,0.1376,0.111,0.087,0.801,44
44,@BBCWorld,"RT @BBC_HaveYourSay: A business man offers a young homeless man a permanent job, prompting other offers of help 👏👏👏
https://t.co/RMgjmSGt9g",Wed Jul 11 15:41:03 +0000 2018,0.4019,0.144,0,0.856,45
45,@BBCWorld,Judge: FBI agent charged after backflip shooting can carry gun https://t.co/YQPlAVc31r,Wed Jul 11 15:31:45 +0000 2018,-0.4939,0,0.318,0.682,46
46,@BBCWorld,"Just hours after they engaged in a new war of words, US President Donald Trump and German Chancellor Angela Merkel… https://t.co/bda5r2YvLQ",Wed Jul 11 14:38:33 +0000 2018,-0.296,0.11,0.159,0.732,47
47,@BBCWorld,Syria war: Government attacks IS enclave in south-west https://t.co/3QYvUMlbYT,Wed Jul 11 14:32:54 +0000 2018,-0.7783,0,0.493,0.507,48
48,@BBCWorld,"RT @BBC_HaveYourSay: #WorldCup reunites Russian &amp; Chinese pen pals after 56 years

Thanks to a reporter  👏✉️ &amp; social media

https://t.co/B…",Wed Jul 11 14:14:57 +0000 2018,0.4404,0.132,0,0.868,49
49,@BBCWorld,#ThaiCaveRescue: First pictures of boys as they recover in hospital shows them in good spirits following dramatic r… https://t.co/lkpvlOaP1h,Wed Jul 11 14:10:48 +0000 2018,0.4404,0.139,0,0.861,50
50,@BBCWorld,Mexican wolves: Eight-cub litter delights Mexico City zoo https://t.co/fDpNmPQM13,Wed Jul 11 14:03:14 +0000 2018,0.4588,0.273,0,0.727,51
51,@BBCWorld,"RT @BBCNews: Why will these Russians be cheering on England in their World Cup semi-final against Croatia? 

(and how do you say ""it's comi…",Wed Jul 11 13:44:20 +0000 2018,0.5106,0.125,0,0.875,52
52,@BBCWorld,Thai cave rescue: First pictures emerge of boys in hospital https://t.co/Lvz0Tg8Ge3,Wed Jul 11 13:06:46 +0000 2018,0.5106,0.248,0,0.752,53
53,@BBCWorld,Nigerian law student allowed to wear hijab at graduation ceremony https://t.co/nzSMWq2me3,Wed Jul 11 13:04:00 +0000 2018,0,0,0,1,54
54,@BBCWorld,RT @BBCScienceNews: Could tunnels in space known as wormholes allow us to travel in time? https://t.co/8rasIe3ORE,Wed Jul 11 12:57:20 +0000 2018,0.2263,0.112,0,0.888,55
55,@BBCWorld,#ThaiCaveRescue: New footage emerges showing how boys were taken out of the flooded cave by team of divers… https://t.co/kP5ChzaYBV,Wed Jul 11 12:56:47 +0000 2018,0,0,0,1,56
56,@BBCWorld,Young cow rescued from slurry pit after becoming stuck https://t.co/UofAboT1v6,Wed Jul 11 12:42:58 +0000 2018,0.2023,0.219,0.156,0.625,57
57,@BBCWorld,Kazakhstan squirrel art installation sparks backlash over costs https://t.co/virzVlJQQ2,Wed Jul 11 12:29:30 +0000 2018,0,0,0,1,58
58,@BBCWorld,"RT @BBCRealityCheck: Donald Trump criticises Germany at Nato summit over its gas supplies from Russia. So how big are they?  
https://t.co/…",Wed Jul 11 12:22:23 +0000 2018,-0.3182,0,0.103,0.897,59
59,@BBCWorld,India government is 'failing' to protect Taj Mahal https://t.co/yUdS69CFhW,Wed Jul 11 12:04:38 +0000 2018,0.3818,0.245,0,0.755,60
60,@BBCWorld,El Salvador president to testify over kidnapped envoy https://t.co/WlQxFOcepA,Wed Jul 11 11:46:52 +0000 2018,0,0,0,1,61
61,@BBCWorld,"Bravery, tragedy, hope and jubilation.

The full story of the daring #ThaiCaveRescue https://t.co/y5Je5mrHtt https://t.co/vB7eNPudJW",Wed Jul 11 11:08:11 +0000 2018,0.4939,0.374,0.191,0.435,62
62,@BBCWorld,Greece 'orders expulsion of two Russian diplomats' https://t.co/uG7e85lHIA,Wed Jul 11 10:24:54 +0000 2018,0,0,0,1,63
63,@BBCWorld,Duke and Duchess of Sussex meet President Higgins https://t.co/aLWHtyrf74,Wed Jul 11 10:22:29 +0000 2018,0,0,0,1,64
64,@BBCWorld,The model who was bitten by a shark while posing on holiday https://t.co/mYL09Q3pUS,Wed Jul 11 10:12:48 +0000 2018,0.4019,0.197,0,0.803,65
65,@BBCWorld,Cave rescue: How did the Thai boys survive underground? https://t.co/fbiyV5J5LY,Wed Jul 11 09:50:02 +0000 2018,0.5106,0.268,0,0.732,66
66,@BBCWorld,"From tears of joy to tear gas.

After France reached the #WorldCup final, celebrations got out of hand… https://t.co/iZENSzvNT4",Wed Jul 11 09:01:47 +0000 2018,0.5106,0.225,0.082,0.693,67
67,@BBCWorld,India Delhi school 'locks girls in basement' over fees delay https://t.co/HmBk6F1gSD,Wed Jul 11 07:44:54 +0000 2018,-0.3182,0,0.187,0.813,68
68,@BBCWorld,At least 179 dead as Japan reels from its worst flood in decades https://t.co/6sobpxDzBq,Wed Jul 11 07:15:18 +0000 2018,-0.8555,0,0.412,0.588,69
69,@BBCWorld,"RT @BBCMaryam: As retailers enjoy a #WorldCup bonanza, what are you spending more on as you celebrate your team’s progress in the World Cup…",Wed Jul 11 06:29:59 +0000 2018,0.8658,0.327,0,0.673,70
70,@BBCWorld,"RT @BBCBreaking: ""There was only a tiny bit of hope, but that's all we had to work with.""

Thai Navy Seal chief talks about successful cave…",Wed Jul 11 05:04:03 +0000 2018,0.7992,0.237,0,0.763,71
71,@BBCWorld,Cave rescue: 'Hope became reality' says Navy Seal chief https://t.co/vePnFAmowc,Wed Jul 11 05:00:17 +0000 2018,0.7351,0.437,0,0.563,72
72,@BBCWorld,Qin Yongmin: Prominent Chinese dissident jailed for 13 years https://t.co/KZsiWymQnu,Wed Jul 11 03:49:10 +0000 2018,-0.2263,0.17,0.237,0.593,73
73,@BBCWorld,Not all heroes wear capes. This one donned a wetsuit and abandoned his holiday to look after the health of 13 frigh… https://t.co/L09EYnIygM,Wed Jul 11 03:22:43 +0000 2018,-0.4592,0.099,0.208,0.693,74
74,@BBCWorld,"Shots fired. 

The heat is on. 

The US has ramped up its trade war with China, listing $200bn (£150bn) worth of ad… https://t.co/eE6d9fjVgA",Wed Jul 11 02:24:18 +0000 2018,-0.765,0.065,0.255,0.68,75
75,@BBCWorld,World Cup 2018: Why millions of fans see the football like this https://t.co/KCfyw5MRaj,Wed Jul 11 02:19:47 +0000 2018,0.3612,0.172,0,0.828,76
76,@BBCWorld,Latino picnicker harassed in Illinois park as cop stands by https://t.co/EvDjpb4vxH,Wed Jul 11 00:38:59 +0000 2018,-0.5423,0,0.259,0.741,77
77,@BBCWorld,Why the end of US sanctions hasn't helped Sudan https://t.co/UxBE32ETJG,Tue Jul 10 23:58:00 +0000 2018,0,0,0,1,78
78,@BBCWorld,Child sex crime: Does India have a growing problem? https://t.co/W03c83djm1,Tue Jul 10 23:55:25 +0000 2018,-0.6705,0.122,0.446,0.432,79
79,@BBCWorld,Can Nato survive US President Donald Trump? https://t.co/5kwdim0SwL,Tue Jul 10 23:50:02 +0000 2018,0,0,0,1,80
80,@BBCWorld,German neo-Nazi murder trial reaches climax https://t.co/qR4qFMrpWV,Tue Jul 10 23:44:26 +0000 2018,-0.6705,0.11,0.431,0.459,81
81,@BBCWorld,Cave rescue: Elation as Thai boys and coach freed by divers https://t.co/pLhURGIV9D,Tue Jul 10 22:19:15 +0000 2018,0.8176,0.486,0,0.514,82
82,@BBCWorld,Brett Kavanaugh: Trump Supreme Court pick under microscope https://t.co/0TokhZ8s9a,Tue Jul 10 21:52:32 +0000 2018,0.5574,0.31,0,0.69,83
83,@BBCWorld,"RT @BBCSport: Cristiano Ronaldo's stats at Real Madrid though 🔥🔥🔥

We've analysed if at 33 years old, he's worth the £99m Juventus have pai…",Tue Jul 10 21:47:40 +0000 2018,0.2263,0.076,0,0.924,84
